iter	Passed	Remaining
1173	9833	73926
1174	9847	73960
1175	9862	74005
1176	9873	74010
1177	9883	74015
1178	9891	74003
1179	9898	73989
1180	9907	73980
1181	9915	73975
1182	9923	73959
1183	9931	73945
1184	9937	73922
1185	9944	73901
1186	9952	73890
1187	9960	73882
1188	9969	73878
1189	9975	73853
1190	9983	73841
1191	9992	73836
1192	10001	73836
1193	10013	73848
1194	10022	73851
1195	10034	73864
1196	10042	73857
1197	10054	73869
1198	10061	73856
1199	10072	73863
1200	10080	73853
1201	10089	73852
1202	10099	73854
1203	10109	73853
1204	10119	73856
1205	10129	73863
1206	10138	73860
1207	10149	73869
1208	10158	73862
1209	10169	73878
1210	10179	73876
1211	10189	73880
1212	10197	73874
1213	10206	73870
1214	10217	73880
1215	10225	73867
1216	10236	73872
1217	10245	73874
1218	10254	73869
1219	10265	73875
1220	10273	73869
1221	10281	73858
1222	10289	73843
1223	10301	73863
1224	10310	73859
1225	10323	73878
1226	10332	73877
1227	10341	73875
1228	10352	73879
1229	10359	73867
1230	10367	73849
1231	10374	73832
1232	10384	73834
1233	10394	73842
1234	10405	73850
1235	10414	73844
1236	10422	73837
1237	10430	73821
1238	10436	73800
1239	10444	73785
1240	10451	73769
1241	10459	73753
1242	10466	73738
1243	10473	73721
1244	10481	73707
1245	10489	73693
1246	10496	73678
1247	10506	73677
1248	10513	73662
1249	10521	73648
1250	10529	73635
1251	10536	73618
1252	10543	73604
1253	10549	73580
1254	10556	73562
1255	10564	73544
1256	10571	73528
1257	10578	73511
1258	10585	73494
1259	10592	73475
1260	10602	73476
1261	10609	73457
1262	10616	73444
1263	10624	73430
1264	10631	73414
1265	10639	73401
1266	10646	73385
1267	10655	73375
1268	10663	73370
1269	10672	73364
1270	10680	73353
1271	10689	73344
1272	10696	73332
1273	10704	73319
1274	10711	73303
1275	10718	73282
1276	10725	73265
1277	10733	73250
1278	10740	73238
1279	10748	73222
1280	10754	73201
1281	10761	73182
1282	10768	73165
1283	10775	73148
1284	10783	73137
1285	10792	73131
1286	10803	73142
1287	10810	73120
1288	10817	73103
1289	10825	73090
1290	10832	73074
1291	10839	73057
1292	10847	73046
1293	10853	73024
1294	10861	73010
1295	10869	72999
1296	10876	72980
1297	10886	72984
1298	10899	73007
1299	10907	72995
1300	10915	72983
1301	10923	72971
1302	10930	72957
1303	10937	72939
1304	10944	72922
1305	10952	72910
1306	10959	72895
1307	10966	72877
1308	10973	72859
1309	10980	72840
1310	10988	72827
1311	10995	72812
1312	11003	72799
1313	11009	72779
1314	11017	72764
1315	11024	72749
1316	11032	72737
1317	11039	72722
1318	11047	72709
1319	11054	72693
1320	11061	72675
1321	11069	72661
1322	11076	72644
1323	11083	72628
1324	11092	72626
1325	11100	72613
1326	11107	72598
1327	11116	72588
1328	11124	72579
1329	11133	72579
1330	11140	72562
1331	11148	72546
1332	11155	72530
1333	11162	72513
1334	11169	72499
1335	11177	72483
1336	11185	72472
1337	11192	72461
1338	11200	72447
1339	11207	72429
1340	11213	72408
1341	11220	72389
1342	11227	72374
1343	11234	72352
1344	11240	72334
1345	11247	72315
1346	11255	72302
1347	11262	72285
1348	11268	72261
1349	11275	72247
1350	11283	72234
1351	11290	72218
1352	11298	72205
1353	11305	72192
1354	11311	72169
1355	11318	72151
1356	11325	72136
1357	11331	72113
1358	11339	72100
1359	11348	72097
1360	11357	72092
1361	11366	72087
1362	11376	72088
1363	11388	72104
1364	11396	72092
1365	11403	72074
1366	11410	72057
1367	11416	72038
1368	11424	72023
1369	11431	72009
1370	11437	71988
1371	11445	71975
1372	11452	71959
1373	11460	71947
1374	11467	71933
1375	11474	71916
1376	11484	71914
1377	11491	71902
1378	11499	71888
1379	11505	71869
1380	11513	71856
1381	11521	71844
1382	11528	71829
1383	11534	71809
1384	11542	71794
1385	11549	71783
1386	11558	71774
1387	11567	71768
1388	11578	71777
1389	11585	71764
1390	11593	71754
1391	11601	71740
1392	11609	71731
1393	11616	71716
1394	11623	71698
1395	11630	71680
1396	11636	71661
1397	11643	71645
1398	11650	71629
1399	11658	71614
1400	11665	71597
1401	11672	71583
1402	11682	71586
1403	11690	71575
1404	11698	71563
1405	11705	71547
1406	11713	71537
1407	11721	71528
1408	11728	71513
1409	11735	71493
1410	11742	71479
1411	11750	71469
1412	11757	71452
1413	11764	71437
1414	11772	71426
1415	11780	71416
1416	11788	71405
1417	11800	71420
1418	11807	71403
1419	11814	71385
1420	11822	71376
1421	11830	71364
1422	11838	71353
1423	11845	71339
1424	11853	71328
1425	11860	71311
1426	11867	71294
1427	11876	71290
1428	11884	71280
1429	11891	71268
1430	11899	71254
1431	11905	71235
1432	11912	71219
1433	11919	71201
1434	11927	71188
1435	11934	71176
1436	11942	71165
1437	11950	71152
1438	11956	71131
1439	11964	71119
1440	11972	71110
1441	11980	71101
1442	11988	71089
1443	11996	71078
1444	12002	71060
1445	12009	71041
1446	12016	71028
1447	12025	71022
1448	12033	71014
1449	12046	71030
1450	12053	71015
1451	12061	71006
1452	12070	71005
1453	12078	70991
1454	12084	70970
1455	12091	70954
1456	12097	70935
1457	12105	70921
1458	12112	70907
1459	12119	70892
1460	12127	70879
1461	12134	70864
1462	12141	70846
1463	12147	70825
1464	12153	70806
1465	12160	70788
1466	12169	70785
1467	12176	70769
1468	12183	70756
1469	12191	70741
1470	12197	70723
1471	12205	70710
1472	12212	70696
1473	12219	70682
1474	12227	70668
1475	12233	70651
1476	12239	70629
1477	12247	70620
1478	12256	70612
1479	12268	70624
1480	12275	70612
1481	12283	70602
1482	12292	70599
1483	12300	70588
1484	12308	70577
1485	12315	70564
1486	12323	70552
1487	12331	70541
1488	12338	70527
1489	12345	70511
1490	12353	70498
1491	12362	70497
1492	12370	70488
1493	12378	70478
1494	12386	70464
1495	12392	70446
1496	12399	70428
1497	12406	70413
1498	12413	70400
1499	12421	70386
1500	12428	70372
1501	12435	70359
1502	12442	70342
1503	12449	70328
1504	12456	70309
1505	12464	70299
1506	12471	70286
1507	12481	70285
1508	12491	70287
1509	12501	70288
1510	12508	70277
1511	12516	70264
1512	12523	70251
1513	12531	70239
1514	12538	70224
1515	12545	70209
1516	12552	70195
1517	12563	70201
1518	12571	70188
1519	12578	70174
1520	12586	70166
1521	12594	70154
1522	12601	70141
1523	12609	70129
1524	12616	70114
1525	12623	70101
1526	12630	70085
1527	12638	70071
1528	12645	70060
1529	12653	70047
1530	12662	70042
